pmts,acc,dev,cal,mu,train_ind
973301.00860526,1,1,1,71653.1310573789,TRUE
61788.845917476,1,2,2,1042775.61929619,TRUE
1287234.04013551,1,3,3,4362599.77314118,TRUE
6170490.09132426,1,4,4,10955670.088305,TRUE
10222854.2675971,1,5,5,20800545.123416,TRUE
19200112.1333027,1,6,6,33089166.751149,TRUE
57910362.1882983,1,7,7,46588740.242857,TRUE
54133505.6686873,1,8,8,59989022.5281184,TRUE
71957223.2595098,1,9,9,72148133.0401896,TRUE
152305460.165769,1,10,10,82224253.2281322,TRUE
95402370.0395157,1,11,11,89714082.8154313,TRUE
195688404.405625,1,12,12,94428574.4462804,TRUE
174851804.546671,1,13,13,95809526.6049014,TRUE
99862118.2903177,1,14,14,94837351.5485635,TRUE
151900342.539827,1,15,15,91909014.2165101,TRUE
96094907.5589109,1,16,16,87455728.3299619,TRUE
59672525.0864901,1,17,17,81900579.3400337,TRUE
65343336.9972525,1,18,18,75630465.9846935,TRUE
65248688.6044797,1,19,19,68980037.4252356,TRUE
82453746.1775838,1,20,20,62224870.0008851,TRUE
70614205.2879046,1,21,21,55581225.3390666,TRUE
59955649.7396018,1,22,22,49210099.2409607,TRUE
67822972.1016195,1,23,23,43223738.3294896,TRUE
18731673.9912991,1,24,24,37693267.7855546,TRUE
52393591.9481084,1,25,25,32234699.0126448,TRUE
26467152.9139818,1,26,26,27375996.0199644,TRUE
29982696.1027249,1,27,27,23100971.1943953,TRUE
23085030.6594075,1,28,28,19377923.4403026,TRUE
7137384.75237716,1,29,29,16165243.9710789,TRUE
8828969.74866227,1,30,30,13415850.6765614,TRUE
4476604.66248216,1,31,31,11080566.3330964,TRUE
11766206.8172309,1,32,32,9110587.07824389,TRUE
5729462.49541145,1,33,33,7474129.61745476,TRUE
3768487.03693014,1,34,34,6119480.33503302,TRUE
2071443.71797885,1,35,35,5001593.22557942,TRUE
1331880.77406154,1,36,36,4081632.26617017,TRUE
5441089.78564557,1,37,37,3326406.28804173,TRUE
377069.245857208,1,38,38,2707759.65969851,TRUE
863847.858691164,1,39,39,2201961.83658923,TRUE
1159081.05149107,1,40,40,1789123.5710457,TRUE
109122.532546412,2,1,2,79785.1065762652,TRUE
152906.649093595,2,2,3,1161121.12189562,TRUE
2267722.97580576,2,3,4,4857714.97648761,TRUE
3769677.22381425,2,4,5,12199038.5166818,TRUE
16195221.0889669,2,5,6,23161216.8934697,TRUE
28028464.6910274,2,6,7,36844484.7671226,TRUE
80303929.1494495,2,7,8,51876136.4741154,TRUE
76959427.0610555,2,8,9,66797228.330178,TRUE
79061060.7937586,2,9,10,80336286.7601762,TRUE
114789523.654148,2,10,11,91555954.5012343,TRUE
89465126.0883749,2,11,12,99895811.2952408,TRUE
100529928.386698,2,12,13,104464126.224938,TRUE
112933457.84589,2,13,14,106097886.196346,TRUE
160418008.340609,2,14,15,105126389.451104,TRUE
119697183.231781,2,15,16,101982283.985482,TRUE
106852301.083491,2,16,17,97138005.3924744,TRUE
55623910.3231737,2,17,18,91058855.8088085,TRUE
88527682.4952423,2,18,19,84171736.2765989,TRUE
77083959.0641796,2,19,20,76847055.1702579,TRUE
48962384.281052,2,20,21,69390832.279878,TRUE
60010581.6750501,2,21,22,62044102.9752327,TRUE
54512009.0215309,2,22,23,54987114.2576518,TRUE
55374639.9278091,2,23,24,48346307.2066903,TRUE
51221390.6043954,2,24,25,41657503.3638325,TRUE
37179029.8464061,2,25,26,35624851.9016969,TRUE
45945342.9698926,2,26,27,30255154.6546194,TRUE
33255899.5407269,2,27,28,25530521.543349,TRUE
34916698.8838569,2,28,29,21415917.4389189,TRUE
31881663.7601734,2,29,30,17865357.5204341,TRUE
18929440.4188162,2,30,31,14826808.0089812,TRUE
12959240.0939315,2,31,32,12245919.6671463,TRUE
3752603.00412252,2,32,33,10088913.5481854,TRUE
3592633.55157831,2,33,34,8293297.62362582,TRUE
2166958.67539273,2,34,35,6803772.10934123,TRUE
770115.951027491,2,35,36,5572013.65629698,TRUE
731039.130748897,2,36,37,4556236.59040311,TRUE
817069.120971633,2,37,38,3720628.21290522,TRUE
852048.092382036,2,38,39,3034727.39228269,TRUE
1122074.85080817,2,39,40,2472794.05308467,TRUE
19082334.526672,2,40,41,1977287.33956335,FALSE
19404.9509391316,3,1,3,88839.9869963596,TRUE
488526.024475984,3,2,4,1292897.75745054,TRUE
3548992.73144284,3,3,5,5409021.23043052,TRUE
8284063.10353975,3,4,6,13583517.8982201,TRUE
14994593.3652068,3,5,7,25789803.3346467,TRUE
32978852.2143566,3,6,8,41025997.0571058,TRUE
47884750.8183762,3,7,9,57763603.8547676,TRUE
64216256.9101979,3,8,10,74378103.2688527,TRUE
51056518.3968249,3,9,11,89453721.093769,TRUE
115286597.008856,3,10,12,101946718.58405,TRUE
163988284.670743,3,11,13,110512402.645932,TRUE
94853940.5669916,3,12,14,115681846.769997,TRUE
133288815.187889,3,13,15,117608595.369773,TRUE
119931546.221014,3,14,16,116648289.558578,TRUE
136403008.967205,3,15,17,113272804.890984,TRUE
89551348.2388715,3,16,18,108000159.435563,TRUE
132538208.833881,3,17,19,101342519.803316,TRUE
58168692.3641248,3,18,20,93771333.0242097,TRUE
72024661.5861184,3,19,21,85696942.6604838,TRUE
70421135.1343436,3,20,22,77459464.364917,TRUE
77889508.6954394,3,21,23,69327764.6648786,TRUE
71006837.9193264,3,22,24,61503794.4669422,TRUE
48437283.3112255,3,23,25,53430932.7211852,TRUE
26682860.1443031,3,24,26,46038661.2373461,TRUE
41005820.1535166,3,25,27,39371550.2825074,TRUE
14390198.2560008,3,26,28,33437117.0461663,TRUE
40795094.4141548,3,27,29,28215589.933013,TRUE
35475522.7230372,3,28,30,23668249.1374023,TRUE
27160044.7857717,3,29,31,19744273.5726077,TRUE
14519704.7742141,3,30,32,16386157.0194171,TRUE
8084709.45682586,3,31,33,13560929.0355058,TRUE
11990160.338382,3,32,34,11194663.0626704,TRUE
11241538.4977751,3,33,35,9220669.72632681,TRUE
8894761.08467493,3,34,36,7579726.97853493,TRUE
1849188.95236328,3,35,37,6219916.65282167,TRUE
14204371.6689545,3,36,38,5096209.22250741,TRUE
683148.83485785,3,37,39,4169901.97551745,TRUE
6264350.58549084,3,38,40,3407986.33458318,TRUE
4356947.80208432,3,39,41,2732860.07385958,FALSE
1483625.35293478,3,40,42,2185240.46436459,FALSE
424.275863952364,4,1,4,98922.5135892877,TRUE
4835283.19733869,4,2,5,1439629.83680086,TRUE
7441356.20316978,4,3,6,6022895.70566838,TRUE
10934397.5537136,4,4,7,15125123.0364551,TRUE
36424990.3075894,4,5,8,28716710.3135796,TRUE
77753265.1870753,4,6,9,45682072.7761016,TRUE
72114696.4484432,4,7,10,64319244.9760672,TRUE
79942604.8707031,4,8,11,82819338.2295297,TRUE
63973742.5354346,4,9,12,99605900.8976815,TRUE
142085696.688556,4,10,13,112781273.473964,TRUE
102291360.306847,4,11,14,122379608.111047,TRUE
151766666.565418,4,12,15,128232333.330589,TRUE
156287196.511188,4,13,16,130498550.924283,TRUE
137568110.525296,4,14,17,129562492.892557,TRUE
161563823.258955,4,15,18,125939182.491052,TRUE
96229994.0331171,4,16,19,120197076.925066,TRUE
122534149.68029,4,17,20,112900405.698668,TRUE
129065237.633182,4,18,21,104570260.129928,TRUE
99199866.0779334,4,19,22,95661617.7972693,TRUE
111551148.2057,4,20,23,86552810.9690328,TRUE
46904158.1828637,4,21,24,77543996.37744,TRUE
48170603.1892192,4,22,25,67972204.9961665,TRUE
58807713.3986416,4,23,26,59050312.9691104,TRUE
51220919.6754465,4,24,27,50880589.5066516,TRUE
48744745.654065,4,25,28,43512292.3717802,TRUE
32512715.4993798,4,26,29,36953729.3437146,TRUE
18276479.9118606,4,27,30,31183049.4303141,TRUE
29424915.6371716,4,28,31,26157460.6284261,TRUE
22597290.7706262,4,29,32,21820796.9509757,TRUE
7840098.57303439,4,30,33,18145759.4484412,TRUE
9680403.76469753,4,31,34,15047213.0268752,TRUE
21000791.933566,4,32,35,12446471.2931966,TRUE
3900766.97584742,4,33,36,10272266.3195677,TRUE
5146982.68704643,4,34,37,8461083.00620403,TRUE
8601449.27823279,4,35,38,6957056.76832134,TRUE
1762636.70934441,4,36,39,5711587.3149794,TRUE
588818.959513383,4,37,40,4682782.70570641,TRUE
7506308.56946665,4,38,41,3766407.38618056,FALSE
6351129.28247436,4,39,42,3020277.47679968,FALSE
1154954.43676096,4,40,43,2415064.21021787,FALSE
26454.0323833617,5,1,5,110149.314803747,TRUE
747589.080109371,5,2,6,1603014.66613579,TRUE
4576113.56781518,5,3,7,6706439.3234913,TRUE
22020856.8720569,5,4,8,16841686.2687597,TRUE
46704783.6387355,5,5,9,31975794.4848766,TRUE
41935895.1328149,5,6,10,50866570.5361472,TRUE
75445325.710291,5,7,11,71618891.4509683,TRUE
107690796.185558,5,8,12,92218576.2116573,TRUE
115797351.182608,5,9,13,110191681.544908,TRUE
75451253.3776377,5,10,14,124892118.165496,TRUE
75657268.1296316,5,11,15,135656744.237184,TRUE
154928861.732996,5,12,16,142286655.398508,TRUE
185106740.399042,5,13,17,144946125.147645,TRUE
104103149.43191,5,14,18,144050413.972667,TRUE
157498255.023195,5,15,19,140162030.175414,TRUE
138347155.339792,5,16,20,133905282.550414,TRUE
146118550.962768,5,17,21,125902281.77343,TRUE
158455432.554533,5,18,22,116729488.205218,TRUE
107288069.563819,5,19,23,106891804.508126,TRUE
78754011.4979247,5,20,24,96810432.1938429,TRUE
157092445.162963,5,21,25,85699369.6677102,TRUE
148987840.341706,5,22,26,75120904.1992393,TRUE
90415427.2934574,5,23,27,65260688.596726,TRUE
49150564.8922282,5,24,28,56231747.8172964,TRUE
53630965.5677005,5,25,29,48088520.1080963,TRUE
29741643.162849,5,26,30,40840186.985112,TRUE
50189694.4827114,5,27,31,34462599.3672984,TRUE
31634902.3458704,5,28,32,28908464.7772452,TRUE
7984288.68783842,5,29,33,24163989.8834419,TRUE
11472630.5641368,5,30,34,20134542.9387791,TRUE
4157095.49104932,5,31,35,16729820.6237339,TRUE
24921730.3569709,5,32,36,13865963.2822031,TRUE
7217066.82965222,5,33,37,11466705.6264467,TRUE
2981322.55483356,5,34,38,9463830.15742445,TRUE
5050335.55692411,5,35,39,7797136.15603581,TRUE
5915710.2594622,5,36,40,6414088.97805052,TRUE
1395417.59113455,5,37,41,5175275.26201431,FALSE
2309353.76198593,5,38,42,4162523.90883207,FALSE
960968.767347489,5,39,43,3337922.8318779,FALSE
2857175.21005836,5,40,44,2669058.73041812,FALSE
949645.219442462,6,1,6,122650.255351465,TRUE
2353564.14194519,6,2,7,1784942.18038486,TRUE
5101493.28609683,6,3,8,7467558.89485874,TRUE
22459214.853451,6,4,9,18753063.7398243,TRUE
55493667.5425436,6,5,10,35604754.9240197,TRUE
34717437.6083411,6,6,11,56639461.4095191,TRUE
63108048.643858,6,7,12,79746981.0874515,TRUE
109243145.126562,6,8,13,102019256.799637,TRUE
83359123.6158942,6,9,14,122024446.864739,TRUE
179940430.740676,6,10,15,138441840.047757,TRUE
147251819.522104,6,11,16,150524785.117946,TRUE
107897477.496547,6,12,17,158039297.863149,TRUE
136074201.757733,6,13,18,161154272.854005,TRUE
138013420.656468,6,14,19,160318640.082107,TRUE
124736615.421545,6,15,20,156147193.705711,TRUE
204080073.045403,6,16,21,149326129.612055,TRUE
132451124.186182,6,17,22,140541956.164413,TRUE
130031002.478273,6,18,23,130432935.600238,TRUE
89170079.8007709,6,19,24,119559858.039895,TRUE
91722487.1307604,6,20,25,106992074.22697,TRUE
86102393.2498928,6,21,26,94712451.0541674,TRUE
54151158.2041132,6,22,27,83021438.6605462,TRUE
93081631.5802032,6,23,28,72124215.1306927,TRUE
68926420.086402,6,24,29,62145692.3602398,TRUE
40299099.0491594,6,25,30,53146033.9167639,TRUE
68530329.7186349,6,26,31,45135386.9447174,TRUE
34443965.3382556,6,27,32,38087062.5820305,TRUE
19785997.3934032,6,28,33,32012756.0873505,TRUE
19228742.5630936,6,29,34,26812374.1672426,TRUE
6798419.43556166,6,30,35,22386025.3127947,TRUE
27825489.9380963,6,31,36,18637818.9465908,TRUE
9064157.88448942,6,32,37,15478270.7377113,TRUE
10198678.3221179,6,33,38,12825657.7124115,TRUE
6616247.34001799,6,34,39,10606607.7584762,TRUE
21503616.8049,6,35,40,8756151.71768917,TRUE
1365830.9519845,6,36,41,7088664.60449098,FALSE
3653721.41178216,6,37,42,5719563.71261454,FALSE
2863298.64870533,6,38,43,4600300.36983577,FALSE
2081116.72165291,6,39,44,3688975.24057217,FALSE
939078.808988185,6,40,45,2949766.08749401,FALSE
7868.49611084126,7,1,7,136569.938402085,TRUE
1086113.5291527,7,2,8,1987516.80481954,TRUE
2695079.63276254,7,3,9,8315058.58151171,TRUE
42713648.8232966,7,4,10,20881365.0852916,TRUE
30935996.6409606,7,5,11,39645569.2070162,TRUE
116522877.725007,7,6,12,63067522.6371057,TRUE
70725449.595425,7,7,13,88222222.4281971,TRUE
107060252.479007,7,8,14,112974438.777885,TRUE
85114245.0112676,7,9,15,135263051.046815,TRUE
179400389.464388,7,10,16,153615128.696342,TRUE
119009644.98846,7,11,17,167189475.952016,TRUE
92252499.9482795,7,12,18,175711548.711981,TRUE
132984289.524556,7,13,19,179354110.51493,TRUE
165404311.871713,7,14,20,178602619.526896,TRUE
157111325.467567,7,15,21,174129471.532082,TRUE
143101169.208652,7,16,22,166689483.832436,TRUE
132684220.02601,7,17,23,157040866.017478,TRUE
212617925.260446,7,18,24,145890915.920554,TRUE
127779687.624149,7,19,25,132134078.074945,TRUE
119098762.365458,7,20,26,118244528.900238,TRUE
82246905.5349424,7,21,27,104673446.484729,TRUE
56449894.1537197,7,22,28,91752879.5844367,TRUE
176840870.28497,7,23,29,79709585.0514733,TRUE
91857866.7053347,7,24,30,68681611.8802128,TRUE
76378906.0452448,7,25,31,58735451.0958695,TRUE
55498396.8851912,7,26,32,49882317.027393,TRUE
29992387.7614775,7,27,33,42176983.5900081,TRUE
32749812.4943608,7,28,34,35521368.7176257,TRUE
17135312.8966588,7,29,35,29810584.1602188,TRUE
43854424.7851897,7,30,36,24939101.0278832,TRUE
27941240.9346829,7,31,37,20804988.5712622,TRUE
17444470.2150847,7,32,38,17312644.8806759,TRUE
10188380.6882878,7,33,39,14374383.1342219,TRUE
4260622.36906912,7,34,40,11911176.7301053,TRUE
8039256.19445949,7,35,41,9677044.23264821,FALSE
43147945.5831902,7,36,42,7834185.96887564,FALSE
9680699.79911428,7,37,43,6321095.47926237,FALSE
6526945.54436084,7,38,44,5084118.18315513,FALSE
10340312.9853305,7,39,45,4076948.15338147,FALSE
7062218.59751417,7,40,46,3259995.69502417,FALSE
1395735.30539514,8,1,8,152069.378263439,TRUE
2486419.7048689,8,2,9,2213081.79774671,TRUE
2140080.0209519,8,3,10,9258741.73708535,TRUE
14616359.2818512,8,4,11,23251209.182384,TRUE
43035746.9034864,8,5,12,44144978.9811067,TRUE
55949845.0176828,8,6,13,69770127.1473159,TRUE
98016064.5827637,8,7,14,97695830.9560908,TRUE
135479424.7236,8,8,15,125231194.830469,TRUE
141026624.522546,8,9,16,150087942.974815,TRUE
205056462.545737,8,10,17,170621953.354184,TRUE
158807333.352004,8,11,18,185884916.885113,TRUE
265489710.497039,8,12,19,195555401.469175,TRUE
158866161.103886,8,13,20,199809042.444953,TRUE
194909942.626135,8,14,21,199170916.968754,TRUE
131409625.890072,8,15,22,194376910.491854,TRUE
183121649.376178,8,16,23,186257980.260562,TRUE
163182638.478223,8,17,24,175652228.287384,TRUE
128805036.451882,8,18,25,161234397.486816,TRUE
86456965.1605505,8,19,26,146030740.375167,TRUE
108469134.885536,8,20,27,130680414.562098,TRUE
128085271.48125,8,21,28,115682048.94967,TRUE
90588976.9735398,8,22,29,101402614.166416,TRUE
85764440.7820307,8,23,30,88092715.2907655,TRUE
63956090.6949768,8,24,31,75904920.05657,TRUE
53236213.0200274,8,25,32,64912712.4112095,TRUE
33789845.4888585,8,26,33,55238853.4076278,TRUE
85913660.8104323,8,27,34,46799600.1784399,TRUE
32360896.3802292,8,28,35,39493434.823711,TRUE
19057326.1403627,8,29,36,33210414.0723452,TRUE
42794948.5892754,8,30,37,27838971.5743844,TRUE
34021184.4661044,8,31,38,23270647.2825299,TRUE
34081473.7362938,8,32,39,19403183.5373822,TRUE
40540392.8417386,8,33,40,16142372.9241932,TRUE
1658926.71031172,8,34,41,13163886.1221717,FALSE
13250526.808958,8,35,42,10694787.8588545,FALSE
16177410.1057507,8,36,43,8658114.49959765,FALSE
6742538.79427717,8,37,44,6985890.89406022,FALSE
1190871.24728399,8,38,45,5618819.56008265,FALSE
1899754.45253538,8,39,46,4505724.53361942,FALSE
416977.853317485,8,40,47,3602852.43519252,FALSE
2882.30029665268,9,1,9,169327.862895748,TRUE
547757.347130566,9,2,10,2464246.35587548,TRUE
42684400.6028999,9,3,11,10309524.3062571,TRUE
23719837.0989063,9,4,12,25890008.9258906,TRUE
60974671.2177017,9,5,13,48836559.0979358,TRUE
60807967.2966533,9,6,14,77262285.6232941,TRUE
108872032.374271,9,7,15,108294989.317369,TRUE
117650937.398874,9,8,16,138956590.753511,TRUE
132529384.747359,9,9,17,166704270.748589,TRUE
165203700.761759,9,10,18,189701220.351459,TRUE
230523147.503907,9,11,19,206877691.392485,TRUE
202637159.734779,9,12,20,217858054.104881,TRUE
259162637.828119,9,13,21,222819521.392389,TRUE
226759445.94829,9,14,22,222330126.885404,TRUE
211297950.56098,9,15,23,217195769.793703,TRUE
171690455.951581,9,16,24,208331946.31921,TRUE
151542416.501202,9,17,25,194125734.398402,TRUE
214249093.958157,9,18,26,178191567.095878,TRUE
161500428.391317,9,19,27,161388927.40769,TRUE
183286714.956925,9,20,28,144424193.7361,TRUE
